City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Kahului,US,2020-08-23 19:25:40,20.89,-156.47,87.8,43,20,20.8
274,Severo-Kurilsk,RU,2020-08-23 19:28:55,50.68,156.12,50.54,77,0,1.39
275,Comrie,GB,2020-08-23 19:28:55,56.38,-3.99,57.0,84,64,1.07
276,Sioux Lookout,CA,2020-08-23 19:28:55,50.1,-91.92,75.2,73,75,6.93
277,Shingu,JP,2020-08-23 19:28:55,33.73,135.98,74.53,90,10,3.47
278,Nioro,GM,2020-08-23 19:28:55,13.35,-15.75,74.84,87,100,4.18
279,Kaduna,NG,2020-08-23 19:28:55,10.52,7.44,72.45,87,100,4.7
280,Ulladulla,AU,2020-08-23 19:28:55,-35.35,150.47,46.4,61,0,14.99
281,East Angus,CA,2020-08-23 19:28:55,45.48,-71.67,71.6,78,90,5.82
282,Salem,IN,2020-08-23 19:28:55,11.65,78.17,75.96,89,100,2.82
283,Tazovskiy,RU,2020-08-23 19:24:37,67.47,78.7,52.57,91,99,9.93
284,Saint-Joseph,RE,2020-08-23 19:28:55,-21.37,55.62,66.2,72,17,4.7
285,Aden,YE,2020-08-23 19:26:33,12.78,45.04,87.01,61,10,1.61
286,Mabaruma,GY,2020-08-23 19:28:56,8.2,-59.78,88.05,59,1,5.64
287,Kysyl-Syr,RU,2020-08-23 19:28:56,63.9,122.76,39.15,83,0,5.48
288,Seguela,CI,2020-08-23 19:28:56,7.96,-6.67,72.81,93,8,5.26
289,Walvis Bay,NA,2020-08-23 19:28:56,-22.96,14.51,59.0,72,0,5.82
290,Clyde River,CA,2020-08-23 19:28:56,70.47,-68.59,42.73,89,100,8.25
291,Pingdu,CN,2020-08-23 19:28:56,36.78,119.95,78.8,88,20,8.95
292,Mitla,MX,2020-08-23 19:28:56,16.92,-96.4,75.2,50,90,5.82
293,Gat,IL,2020-08-23 19:27:03,31.61,34.76,82.0,35,0,3.8
294,Balkanabat,TM,2020-08-23 19:28:56,39.51,54.37,76.35,31,81,14.85
295,Lucea,JM,2020-08-23 19:28:56,18.45,-78.17,87.8,74,20,11.41
296,Goundam,ML,2020-08-23 19:28:56,16.41,-3.67,95.04,35,43,8.88
297,Kyren,RU,2020-08-23 19:28:56,51.68,102.14,47.86,76,0,1.54
298,Leningradskiy,RU,2020-08-23 19:28:56,69.38,178.42,43.77,88,95,11.92
299,Morondava,MG,2020-08-23 19:28:56,-20.28,44.28,73.33,85,0,6.4
300,Great Falls,US,2020-08-23 19:28:56,47.5,-111.3,86.0,19,1,12.75
301,Solnechnyy,RU,2020-08-23 19:28:57,50.72,136.63,57.2,90,100,1.01
302,Mercedes,AR,2020-08-23 19:28:57,-34.65,-59.43,70.0,38,9,5.99
